id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4625,5267144336134379798,7047277916029343087,78,261672904480,-1004482228130,8508,4,0,4
4604,5981256148869718302,1463229851564407956,264,165501917790,-1004482228130,8485,7,0,7
4602,5981256148869718300,-7809031277829371567,264,165501917790,-1004482228130,8483,6,0,6
4623,5994307180092721675,4533948706145858993,571,756372794491,-1004482228130,8506,3,0,3
4628,5433670380092919153,6050419479186096714,1111,426362434662,-1004482228130,8511,1,0,1
4626,5981160366804047663,-6546489945941661790,"641,117",801346475500,-1004482228130,8509,1,0,1
10220,5785296371909140090,-845736612056355969,267,173975302140,-1004482228130,16726,11,0,11
4627,5235667354045662586,7822618245917764837,2057,426362434662,-1004482228130,8510,1,0,1
10275,5206683763681009445,-1183010017399359008,3766,612248565815,-1004482228130,16811,3,0,3
4615,5981160366804047559,4043832748072520857,2048,531129283270,-1004482228130,8498,3,0,3
4619,5377317570196015049,4927847319916645379,2055,706302919753,-1004482228130,8502,1,0,1
4613,5981256148869718337,-2764677114251732374,481,130713082052,-1004482228130,8495,6,1,7
4624,5981160366804047660,-1969452574381525699,78,902628186976,-1004482228130,8507,4,0,4
11003,5902022965855262784,3158179518538288834,3467,284356751435,-1004482228130,17951,2,0,2
4629,5442668594276077639,-3109028726568313306,1111,426362434662,-1004482228130,8512,0,0,0
4630,5442668594276077640,-8027719696813620497,1111,426362434662,-1004482228130,8513,0,0,0
10137,263076380491665860,-3727109578400713946,418,666167540785,-1004482228130,16606,4,0,4
10141,6015059920901116859,-9015926704894649897,826,924489435838,-1004482228130,16612,6,0,6
4637,5875266719760526555,-2283945238318362721,517,426362434662,-1004482228130,8524,0,0,0
686,5395647309499372321,7209527310281215283,478,"874158820580,230986011321,812649641749",-1004482228130,3908,4,0,4
10109,5992349289186072443,-6297287362626606029,3000,173975302140,-1004482228130,16565,5,2,7
1587,5305662809730713121,-4248171316132079339,291,"979910711272,261672904480,764118488854,396287033930,318509972361",-1004482228130,4924,29,0,29
10115,5251512046746364244,-8385723630428692140,295,123317730197,-1004482228130,16576,7,1,8
10164,5776188004699740324,2488735983697490480,1732,489825954980,-1004482228130,16643,2,0,2
4631,5377768400028179824,7249119309072062069,2058,426362434662,-1004482228130,8515,5,0,5
